RegionsCount::Count!!I;ImageSceneContainerName::Image Scene Container Name ;ImageSceneColumn::Image Scene Column Index!!I;ImageSceneRow::Image Scene Row Index!!I;ImageIndexPosition::Image Index Position!!I;RegionsIntensityMean_DAPI::Intensity Mean Value of channel 'DAPI'!!R;RegionsMeanArea::Mean Area!!R
"#";;;;;"Gray";"µm²"
181;"D6";6;4;1;84,454194477163;556,88215902762
205;"D6";6;4;1;89,537464203669;511,19985420488
201;"D6";6;4;1;54,227954837788;574,00742368159
207;"D7";7;4;1;60,404598253144;530,79549928502
211;"D7";7;4;1;88,614063733094;574,34272242654
202;"D7";7;4;1;60,750108581001;526,25292229703
194;"D7";7;4;1;63,151113991236;550,87794606186
168;"D7";7;4;1;53,879400945875;522,98499733333
167;"D7";7;4;1;62,256477166822;529,73046227545
173;"D7";7;4;1;71,09623910717;498,75782880925
180;"D7";7;4;1;42,633595920387;481,43201173333
184;"D7";7;4;1;75,560085990684;500,23457043478
206;"D8";8;4;1;115,65082856282;531,33903223301
205;"D8";8;4;1;47,419050335092;564,09424702439
224;"D8";8;4;1;48,386513467696;547,134922
211;"D8";8;4;1;47,690034903542;577,65620807583
186;"D8";8;4;1;60,665052247471;534,48316731183
166;"D8";8;4;1;51,840001524158;521,37911363855
180;"D8";8;4;1;73,75866033677;493,98218595556
178;"D8";8;4;1;89,658833258675;537,68021896629
182;"D8";8;4;1;59,523224889796;497,3782930989
137;"D9";9;4;1;40,719965467103;529,77529086131
170;"D9";9;4;1;57,575051488107;480,38122428235
198;"D9";9;4;1;45,755021863897;487,54970117172
219;"D9";9;4;1;89,395519794702;563,33102787215
200;"D9";9;4;1;71,317303836386;493,42521472
127;"D9";9;4;1;69,684230955847;535,18749732284
183;"D9";9;4;1;69,478467856234;495,88581175956
177;"D9";9;4;1;59,678356713427;576,43541767232
185;"D9";9;4;1;81,485133221779;553,96850300541
187;"D10";10;4;1;62,450820173828;576,26065591444
163;"D10";10;4;1;62,843904721064;518,97732672393
184;"D10";10;4;1;60,088970200422;543,71608486957
152;"D10";10;4;1;40,20375310459;471,72358652632
209;"D10";10;4;1;66,612548969238;491,39632321531
202;"D10";10;4;1;47,427495468467;522,39998162376
314;"D10";10;4;1;76,561029168048;506,98759500637
165;"D10";10;4;1;62,285101864234;508,18961609697
198;"D10";10;4;1;84,06552926295;539,86568953535
174;"D11";11;4;1;69,036300348086;495,4933874023
197;"D11";11;4;1;79,063281380928;499,44940994924
225;"D11";11;4;1;70,035685668498;512,17902250667
187;"D11";11;4;1;72,784779428747;458,13745009626
144;"D11";11;4;1;52,207408116386;478,55554844444
176;"D11";11;4;1;98,112631115675;510,90535054546
158;"D11";11;4;1;66,906738685368;479,17012779747
152;"D11";11;4;1;47,139162387525;460,54992968421
169;"D11";11;4;1;43,909625392285;491,22443247337
283;"E11";11;5;1;89,940630429387;469,507484947
188;"E11";11;5;1;95,899368011668;505,16838876596
182;"E11";11;5;1;63,087679516251;527,40327876923
187;"E11";11;5;1;89,140842660095;515,25913771123
275;"E11";11;5;1;67,509634125281;486,07998999273
184;"E11";11;5;1;36,606719130747;448,66972417391
181;"E11";11;5;1;77,22475629274;500,9097080221
164;"E11";11;5;1;99,291408906551;490,83760429268
209;"E11";11;5;1;45,587853683794;518,07897630622
143;"E10";10;5;1;83,050342181667;444,81850718881
221;"E10";10;5;1;41,702710043457;494,46948604525
216;"E10";10;5;1;77,458023474599;511,21348355556
326;"E10";10;5;1;82,611747062285;532,88699543558
271;"E10";10;5;1;77,988221463613;538,28068061993
244;"E10";10;5;1;108,10610965259;530,26551003279
207;"E10";10;5;1;38,322633456119;544,95875524638
215;"E10";10;5;1;75,563445834843;550,37381923721
233;"E10";10;5;1;67,770175210902;545,27855107296
215;"E9";9;5;1;70,406462091769;528,85339147907
212;"E9";9;5;1;101,82054169554;538,73277826415
204;"E9";9;5;1;67,189607043161;526,99415560784
176;"E9";9;5;1;87,928276350474;476,25912472727
179;"E9";9;5;1;60,628521243455;555,9190332067
198;"E9";9;5;1;75,704476752555;462,8324370101
170;"E9";9;5;1;64,706167883212;531,53679058824
212;"E9";9;5;1;83,372254938934;536,22827441509
257;"E9";9;5;1;82,499899623029;575,27697407004
219;"E8";8;5;1;54,691842900302;553,27181413699
235;"E8";8;5;1;75,748455126351;533,67730137872
214;"E8";8;5;1;60,61625571308;529,36753016822
200;"E8";8;5;1;60,256893755069;569,27590272
181;"E8";8;5;1;91,455952424925;493,27544468508
171;"E8";8;5;1;74,10647955648;556,58552140351
202;"E8";8;5;1;64,012330960248;479,28296332673
182;"E8";8;5;1;83,67949970686;556,32293907692
152;"E8";8;5;1;54,573587354564;468,05689136842
161;"E7";7;5;1;69,383525438661;558,01362206211
202;"E7";7;5;1;67,33931298853;545,14212720792
222;"E7";7;5;1;37,386845412652;531,89069405405
222;"E7";7;5;1;79,608946766196;545,27523574775
201;"E7";7;5;1;46,947836339303;514,89212433831
197;"E7";7;5;1;53,598005898949;522,16611346193
163;"E7";7;5;1;48,006174997087;520,96008677301
196;"E7";7;5;1;79,087554534253;505,22817404082
139;"E7";7;5;1;61,576621013313;495,43761864748
199;"E6";6;5;1;66,800402581635;518,67485973869
169;"E6";6;5;1;68,558398171348;443,92263990533
208;"E6";6;5;1;72,932651292989;475,77914830769
181;"E6";6;5;1;84,454194477163;556,88215902762
205;"E6";6;5;1;89,537464203669;511,19985420488
201;"E6";6;5;1;54,227954837788;574,00742368159
207;"E6";6;5;1;60,404598253144;530,79549928502
211;"E6";6;5;1;88,614063733094;574,34272242654
202;"E6";6;5;1;60,750108581001;526,25292229703
194;"E5";5;5;1;63,151113991236;550,87794606186
168;"E5";5;5;1;53,879400945875;522,98499733333
167;"E5";5;5;1;62,256477166822;529,73046227545
173;"E5";5;5;1;71,09623910717;498,75782880925
180;"E5";5;5;1;42,633595920387;481,43201173333
184;"E5";5;5;1;75,560085990684;500,23457043478
206;"E5";5;5;1;115,65082856282;531,33903223301
205;"E5";5;5;1;47,419050335092;564,09424702439
224;"E5";5;5;1;48,386513467696;547,134922
211;"E4";4;5;1;47,690034903542;577,65620807583
186;"E4";4;5;1;60,665052247471;534,48316731183
166;"E4";4;5;1;51,840001524158;521,37911363855
180;"E4";4;5;1;73,75866033677;493,98218595556
178;"E4";4;5;1;89,658833258675;537,68021896629
182;"E4";4;5;1;59,523224889796;497,3782930989
137;"E4";4;5;1;40,719965467103;529,77529086131
170;"E4";4;5;1;57,575051488107;480,38122428235
198;"E4";4;5;1;45,755021863897;487,54970117172
219;"E3";3;5;1;89,395519794702;563,33102787215
200;"E3";3;5;1;71,317303836386;493,42521472
127;"E3";3;5;1;69,684230955847;535,18749732284
183;"E3";3;5;1;69,478467856234;495,88581175956
177;"E3";3;5;1;59,678356713427;576,43541767232
185;"E3";3;5;1;81,485133221779;553,96850300541
187;"E3";3;5;1;62,450820173828;576,26065591444
163;"E3";3;5;1;62,843904721064;518,97732672393
184;"E3";3;5;1;60,088970200422;543,71608486957
152;"E2";2;5;1;40,20375310459;471,72358652632
209;"E2";2;5;1;66,612548969238;491,39632321531
202;"E2";2;5;1;47,427495468467;522,39998162376
314;"E2";2;5;1;76,561029168048;506,98759500637
165;"E2";2;5;1;62,285101864234;508,18961609697
198;"E2";2;5;1;84,06552926295;539,86568953535
174;"E2";2;5;1;69,036300348086;495,4933874023
197;"E2";2;5;1;79,063281380928;499,44940994924
225;"E2";2;5;1;70,035685668498;512,17902250667
187;"F2";2;6;1;72,784779428747;458,13745009626
144;"F2";2;6;1;52,207408116386;478,55554844444
176;"F2";2;6;1;98,112631115675;510,90535054546
158;"F2";2;6;1;66,906738685368;479,17012779747
152;"F2";2;6;1;47,139162387525;460,54992968421
169;"F2";2;6;1;43,909625392285;491,22443247337
283;"F2";2;6;1;89,940630429387;469,507484947
188;"F2";2;6;1;95,899368011668;505,16838876596
182;"F2";2;6;1;63,087679516251;527,40327876923
187;"F3";3;6;1;89,140842660095;515,25913771123
275;"F3";3;6;1;67,509634125281;486,07998999273
184;"F3";3;6;1;36,606719130747;448,66972417391
181;"F3";3;6;1;77,22475629274;500,9097080221
164;"F3";3;6;1;99,291408906551;490,83760429268
209;"F3";3;6;1;45,587853683794;518,07897630622
143;"F3";3;6;1;83,050342181667;444,81850718881
221;"F3";3;6;1;41,702710043457;494,46948604525
216;"F3";3;6;1;77,458023474599;511,21348355556
326;"F4";4;6;1;82,611747062285;532,88699543558
271;"F4";4;6;1;77,988221463613;538,28068061993
244;"F4";4;6;1;108,10610965259;530,26551003279
207;"F4";4;6;1;38,322633456119;544,95875524638
215;"F4";4;6;1;75,563445834843;550,37381923721
233;"F4";4;6;1;67,770175210902;545,27855107296
215;"F4";4;6;1;70,406462091769;528,85339147907
212;"F4";4;6;1;101,82054169554;538,73277826415
204;"F4";4;6;1;67,189607043161;526,99415560784
176;"F5";5;6;1;87,928276350474;476,25912472727
179;"F5";5;6;1;60,628521243455;555,9190332067
198;"F5";5;6;1;75,704476752555;462,8324370101
170;"F5";5;6;1;64,706167883212;531,53679058824
212;"F5";5;6;1;83,372254938934;536,22827441509
257;"F5";5;6;1;82,499899623029;575,27697407004
219;"F5";5;6;1;54,691842900302;553,27181413699
235;"F5";5;6;1;75,748455126351;533,67730137872
214;"F5";5;6;1;60,61625571308;529,36753016822
200;"F6";6;6;1;60,256893755069;569,27590272
181;"F6";6;6;1;91,455952424925;493,27544468508
171;"F6";6;6;1;74,10647955648;556,58552140351
202;"F6";6;6;1;64,012330960248;479,28296332673
182;"F6";6;6;1;83,67949970686;556,32293907692
152;"F6";6;6;1;54,573587354564;468,05689136842
161;"F6";6;6;1;69,383525438661;558,01362206211
202;"F6";6;6;1;67,33931298853;545,14212720792
222;"F6";6;6;1;37,386845412652;531,89069405405
222;"F7";7;6;1;79,608946766196;545,27523574775
201;"F7";7;6;1;46,947836339303;514,89212433831
197;"F7";7;6;1;53,598005898949;522,16611346193
163;"F7";7;6;1;48,006174997087;520,96008677301
196;"F7";7;6;1;79,087554534253;505,22817404082
139;"F7";7;6;1;61,576621013313;495,43761864748
199;"F7";7;6;1;66,800402581635;518,67485973869
169;"F7";7;6;1;68,558398171348;443,92263990533
208;"F7";7;6;1;72,932651292989;475,77914830769
181;"F8";8;6;1;84,454194477163;556,88215902762
205;"F8";8;6;1;89,537464203669;511,19985420488
201;"F8";8;6;1;54,227954837788;574,00742368159
207;"F8";8;6;1;60,404598253144;530,79549928502
211;"F8";8;6;1;88,614063733094;574,34272242654
202;"F8";8;6;1;60,750108581001;526,25292229703
194;"F8";8;6;1;63,151113991236;550,87794606186
168;"F8";8;6;1;53,879400945875;522,98499733333
167;"F8";8;6;1;62,256477166822;529,73046227545
173;"F9";9;6;1;71,09623910717;498,75782880925
180;"F9";9;6;1;42,633595920387;481,43201173333
184;"F9";9;6;1;75,560085990684;500,23457043478
206;"F9";9;6;1;115,65082856282;531,33903223301
205;"F9";9;6;1;47,419050335092;564,09424702439
224;"F9";9;6;1;48,386513467696;547,134922
211;"F9";9;6;1;47,690034903542;577,65620807583
186;"F9";9;6;1;60,665052247471;534,48316731183
166;"F9";9;6;1;51,840001524158;521,37911363855
180;"F10";10;6;1;73,75866033677;493,98218595556
178;"F10";10;6;1;89,658833258675;537,68021896629
182;"F10";10;6;1;59,523224889796;497,3782930989
137;"F10";10;6;1;40,719965467103;529,77529086131
170;"F10";10;6;1;57,575051488107;480,38122428235
198;"F10";10;6;1;45,755021863897;487,54970117172
219;"F10";10;6;1;89,395519794702;563,33102787215
200;"F10";10;6;1;71,317303836386;493,42521472
127;"F10";10;6;1;69,684230955847;535,18749732284
183;"F11";11;6;1;69,478467856234;495,88581175956
177;"F11";11;6;1;59,678356713427;576,43541767232
185;"F11";11;6;1;81,485133221779;553,96850300541
187;"F11";11;6;1;62,450820173828;576,26065591444
163;"F11";11;6;1;62,843904721064;518,97732672393
184;"F11";11;6;1;60,088970200422;543,71608486957
152;"F11";11;6;1;40,20375310459;471,72358652632
209;"F11";11;6;1;66,612548969238;491,39632321531
202;"F11";11;6;1;47,427495468467;522,39998162376
314;"G11";11;7;1;76,561029168048;506,98759500637
165;"G11";11;7;1;62,285101864234;508,18961609697
198;"G11";11;7;1;84,06552926295;539,86568953535
174;"G11";11;7;1;69,036300348086;495,4933874023
197;"G11";11;7;1;79,063281380928;499,44940994924
225;"G11";11;7;1;70,035685668498;512,17902250667
187;"G11";11;7;1;72,784779428747;458,13745009626
144;"G11";11;7;1;52,207408116386;478,55554844444
176;"G11";11;7;1;98,112631115675;510,90535054546
158;"G10";10;7;1;66,906738685368;479,17012779747
152;"G10";10;7;1;47,139162387525;460,54992968421
169;"G10";10;7;1;43,909625392285;491,22443247337
283;"G10";10;7;1;89,940630429387;469,507484947
188;"G10";10;7;1;95,899368011668;505,16838876596
182;"G10";10;7;1;63,087679516251;527,40327876923
187;"G10";10;7;1;89,140842660095;515,25913771123
275;"G10";10;7;1;67,509634125281;486,07998999273
184;"G10";10;7;1;36,606719130747;448,66972417391
181;"G9";9;7;1;77,22475629274;500,9097080221
164;"G9";9;7;1;99,291408906551;490,83760429268
209;"G9";9;7;1;45,587853683794;518,07897630622
143;"G9";9;7;1;83,050342181667;444,81850718881
221;"G9";9;7;1;41,702710043457;494,46948604525
216;"G9";9;7;1;77,458023474599;511,21348355556
326;"G9";9;7;1;82,611747062285;532,88699543558
271;"G9";9;7;1;77,988221463613;538,28068061993
244;"G9";9;7;1;108,10610965259;530,26551003279
207;"G8";8;7;1;38,322633456119;544,95875524638
215;"G8";8;7;1;75,563445834843;550,37381923721
233;"G8";8;7;1;67,770175210902;545,27855107296
215;"G8";8;7;1;70,406462091769;528,85339147907
212;"G8";8;7;1;101,82054169554;538,73277826415
204;"G8";8;7;1;67,189607043161;526,99415560784
176;"G8";8;7;1;87,928276350474;476,25912472727
179;"G8";8;7;1;60,628521243455;555,9190332067
198;"G8";8;7;1;75,704476752555;462,8324370101
170;"G7";7;7;1;64,706167883212;531,53679058824
212;"G7";7;7;1;83,372254938934;536,22827441509
257;"G7";7;7;1;82,499899623029;575,27697407004
219;"G7";7;7;1;54,691842900302;553,27181413699
235;"G7";7;7;1;75,748455126351;533,67730137872
214;"G7";7;7;1;60,61625571308;529,36753016822
200;"G7";7;7;1;60,256893755069;569,27590272
181;"G7";7;7;1;91,455952424925;493,27544468508
171;"G7";7;7;1;74,10647955648;556,58552140351
202;"G6";6;7;1;64,012330960248;479,28296332673
182;"G6";6;7;1;83,67949970686;556,32293907692
152;"G6";6;7;1;54,573587354564;468,05689136842
161;"G6";6;7;1;69,383525438661;558,01362206211
202;"G6";6;7;1;67,33931298853;545,14212720792
222;"G6";6;7;1;37,386845412652;531,89069405405
222;"G6";6;7;1;79,608946766196;545,27523574775
201;"G6";6;7;1;46,947836339303;514,89212433831
197;"G6";6;7;1;53,598005898949;522,16611346193
163;"G5";5;7;1;48,006174997087;520,96008677301
196;"G5";5;7;1;79,087554534253;505,22817404082
139;"G5";5;7;1;61,576621013313;495,43761864748
199;"G5";5;7;1;66,800402581635;518,67485973869
169;"G5";5;7;1;68,558398171348;443,92263990533
208;"G5";5;7;1;72,932651292989;475,77914830769
181;"G5";5;7;1;84,454194477163;556,88215902762
205;"G5";5;7;1;89,537464203669;511,19985420488
201;"G5";5;7;1;54,227954837788;574,00742368159
207;"G4";4;7;1;60,404598253144;530,79549928502
211;"G4";4;7;1;88,614063733094;574,34272242654
202;"G4";4;7;1;60,750108581001;526,25292229703
194;"G4";4;7;1;63,151113991236;550,87794606186
168;"G4";4;7;1;53,879400945875;522,98499733333
167;"G4";4;7;1;62,256477166822;529,73046227545
173;"G4";4;7;1;71,09623910717;498,75782880925
180;"G4";4;7;1;42,633595920387;481,43201173333
184;"G4";4;7;1;75,560085990684;500,23457043478
206;"G3";3;7;1;115,65082856282;531,33903223301
205;"G3";3;7;1;47,419050335092;564,09424702439
224;"G3";3;7;1;48,386513467696;547,134922
211;"G3";3;7;1;47,690034903542;577,65620807583
186;"G3";3;7;1;60,665052247471;534,48316731183
166;"G3";3;7;1;51,840001524158;521,37911363855
180;"G3";3;7;1;73,75866033677;493,98218595556
178;"G3";3;7;1;89,658833258675;537,68021896629
182;"G3";3;7;1;59,523224889796;497,3782930989
137;"G2";2;7;1;40,719965467103;529,77529086131
170;"G2";2;7;1;57,575051488107;480,38122428235
198;"G2";2;7;1;45,755021863897;487,54970117172
219;"G2";2;7;1;89,395519794702;563,33102787215
200;"G2";2;7;1;71,317303836386;493,42521472
127;"G2";2;7;1;69,684230955847;535,18749732284
183;"G2";2;7;1;69,478467856234;495,88581175956
177;"G2";2;7;1;59,678356713427;576,43541767232
185;"G2";2;7;1;81,485133221779;553,96850300541
