ParticleID	Class	Area	IsFiber	FiberLength	FeretMin	FeretMax	FeretRatio	maxMIC	Perimeter
2	B	63.55766811823299	False	0.0	7.959534475828465	10.224479044517915	1.284557416714211	7.72519006972413	29.46552473585173
3	B	14.621247595274257	False	0.0	3.4839810289739384	5.527571351629641	1.586567580494994	3.9390894911736543	14.034555114344586
4	C	132.7847995897356	False	0.0	10.324972199385659	16.490892580112646	1.5971851799362582	10.92506856851382	43.98810172479867
6	E	1349.9290636943008	False	370.6171262239566	34.05866507292048	59.64201022374428	1.751155252152402	29.517909810064786	197.9029269443012
10	B	24.76660306954619	False	0.0	5.464475845608947	5.889209685012131	1.0777263641387462	4.885839195608645	18.01028293848001
11	B	92.50177050071468	False	0.0	10.41530002961436	11.59131133374658	1.112911898916825	9.77167839121729	36.66054157671797
12	B	25.06499587761301	False	9.282270217515029	2.931415422339778	11.180559453175807	3.8140481106740514	3.454810027001899	23.379094951404674
13	C	71.61427393603718	False	24.413933879046454	6.286702578568245	16.6979728336623	2.6560780671550637	6.180152055779304	42.70815032528279
14	B	22.97624622114526	False	0.0	4.144670303854194	7.1465014219281695	1.724262944457253	4.370027427405528	17.651474052718815
16	B	12.830890746873328	False	0.0	3.3350443488823616	5.003189712749712	1.5001868609112734	3.090076027889652	12.735193196887598
18	B	11.338926706539219	False	0.0	2.7728066790558055	5.174584595766038	1.8661901800987022	4.370027427405528	11.642686340036214
19	B	36.70231539221905	False	0.0	6.254809923896836	7.636892089707665	1.220963096021593	5.570713781819116	22.83284152297898
20	B	15.814818827541542	False	5.539104706036114	4.170581294383923	6.174127371726768	1.4803997179100206	3.090076027889652	17.12463114223424
21	B	63.25927531016617	False	0.0	6.782224807558219	12.106489369889921	1.7850321558787403	6.909620054003798	30.29294497827416
23	B	20.290710948543865	False	0.0	4.68713797098762	5.580832373211568	1.1906695317602607	4.504521167509801	16.012713767441742
24	E	754.9338044090586	False	229.36250343657676	27.140117609227232	50.05860672241817	1.8444506189390644	14.202589139067967	196.18985490563298
25	B	11.338926706539219	False	5.093763350592942	3.241016145027712	6.40192876485433	1.975284441170098	2.4429195978043223	16.219568828047347
28	B	10.443748282338754	False	0.0	2.4977949422708154	5.336557031969835	2.1365072615281306	3.454810027001899	11.830130882700706
29	B	62.36409688596571	False	18.03206154348873	5.575019595968599	14.41632267821953	2.585878386623832	5.46253428425691	33.06303315628485
30	D	154.86586738668038	False	46.97215967940872	7.584113781949304	27.089916570918174	3.5719290809420583	7.647547997959674	59.735728877811454
31	C	343.74851489297845	False	99.18297287596013	20.854129431061022	22.69333674604872	1.0881939148343591	16.241282040869503	91.14392154925143
33	B	11.040533898472397	False	0.0	2.8500102406649352	5.1104775730310505	1.7931435824731374	4.370027427405528	12.602649889673122
50	B	76.38855886510632	False	0.0	8.189372077296136	11.91966151625015	1.455503719179607	8.80807187171935	32.47795869197693
53	C	133.38158520586924	False	45.72659794469783	9.165025616993042	22.701827417876604	2.47700643365194	7.72519006972413	67.72600556196454
54	B	27.750531150214403	False	9.415031655903642	3.658061307728754	10.287021216703387	2.8121511235935173	3.9390894911736543	23.285372680072427
55	B	17.30678286787565	False	0.0	4.11953713966324	5.394348204809469	1.3094549270771814	4.504521167509801	14.60021906071139
56	B	40.28302908902091	False	13.371425498203909	4.322048408461421	12.732297232071796	2.9458941753510546	4.885839195608645	28.615363657114862
57	C	104.73587563145436	False	31.39130502801808	7.826419835913385	18.05755339358275	2.307255906554026	8.320284338380667	45.93076966038692
59	B	18.500354100142935	False	0.0	3.593651086668171	6.742964885790957	1.8763549168159925	3.9390894911736543	16.238979345988465
61	B	20.589103756610687	False	0.0	4.831668970732023	5.459751007049213	1.1299927706392583	4.504521167509801	16.145257074656215
64	B	41.17820751322137	False	0.0	6.035080736619269	8.78733541888638	1.4560427279070451	6.555041141108292	23.285372680072427
67	B	12.830890746873328	False	4.7248134659198495	3.6307066930612533	6.107618036336798	1.6822119087750163	3.090076027889652	15.560182610348297
69	B	27.153745534080763	False	0.0	5.099333893177457	6.769924713163648	1.327609616271906	5.46253428425691	17.877739631265534
70	B	46.549278058424164	False	0.0	6.447524452986121	9.41187693931048	1.459765993590213	6.37035492708905	25.337843086560717
71	B	19.09713971627658	False	0.0	4.607457607464038	5.394933327603521	1.1709132860742504	4.504521167509801	15.372738067683805
72	C	141.43819102367343	False	38.854907311194964	9.563168234640546	19.13535519670097	2.0009430689912167	9.893070354845229	49.583179316270055
73	B	15.516426019474721	False	0.0	3.5609251038490135	5.690090194616245	1.5979247045847191	3.454810027001899	14.60021906071139
74	B	41.17820751322137	False	0.0	6.268553978886823	8.530551764207878	1.360848417823267	6.995457134666664	23.472817222736925
75	B	48.04124209875827	False	0.0	6.982545752977439	9.023552465509454	1.2923012300580639	6.645459772949467	25.922917550868636
77	B	7.758213009737361	False	2.4440389399921862	1.565751828600432	6.474208121736617	4.1348877922267375	2.185013713702764	11.322698490157245
78	B	59.08177599723067	False	0.0	6.7360734581421395	11.556312222851684	1.7155858371590567	6.555041141108292	29.38788266408728
79	C	56.09784791656245	False	18.084461682323724	4.622825272542737	15.605769060056195	3.375807680369543	6.645459772949467	34.07789794137177
80	C	272.13424095694126	False	0.0	18.241061087445853	19.12207676723202	1.0482984885343383	17.274050135009496	61.54585350618524
81	B	16.709997251742006	False	0.0	3.876017835312705	5.508296201205144	1.4211225116204225	3.9390894911736543	13.827700053738978
85	B	25.661781493746656	False	0.0	5.020711533033444	6.537250399172019	1.3020565623339653	5.46253428425691	17.877739631265534
