,type,feretmax,fiberlength,feretmin,maxcircle,diamfilled,maxwidth,feretratio,formcircle,areafilled,areaconv,radius,perimfilled,perimconv,perimcrotfilled,densmax,densmean,densmin,densstd,denssum,rectheight,rectwidth,boundleft,boundtop,boundwidth,boundheight,imgname
21,Metallic,120.019714470771,129.527716439635,13.6084232115333,7.6844262295082,30.0434244126835,7.6844262295082,0.11338489906878998,0.135955031079934,708.906155305108,1296.70692235451,15.0217122063418,270.00144775224,247.65569982585,255.977423776691,255.0,143.291967700807,39.0,69.1550375406602,337166.0,13.6084232115333,120.019714470771,6450.52693208431,8082.91861826698,17.0155152224824,119.108606557377,ShiftImage__
22,Non-metallic,119.937457119446,239.182840486464,100.588292903426,69.1598360655738,94.4772686260516,107.033079625293,0.8386728826779329,0.348172498167402,7010.42810361009,8843.78350365507,47.2325435897625,530.572087829374,349.964624418271,503.013881225594,89.0,57.8363511246828,32.0,9.17930364078009,1344753.0,110.151258420149,119.937457119446,13397.7971311475,3424.50966042155,103.739754098361,113.619730679157,ShiftImage__
23,Metallic,115.918050222358,180.421673850382,58.1689853246763,46.1065573770492,70.7067160408548,52.1443208430913,0.5018112814449059,0.335731952375597,3926.55075312005,5346.98412606086,35.3533580204274,404.369723100387,292.579877883936,383.366536862105,255.0,87.5172281482618,15.0,60.5672212981396,1140437.0,58.9141864610477,115.918050222358,5698.00204918033,6393.44262295082,91.1153395784543,96.0553278688524,ShiftImage__
24,Metallic,114.20242884664,139.207217719449,13.9585066432774,8.78220140515222,28.2196838488643,12.0755269320843,0.12222600503551401,0.10586643725550901,625.452264519083,1356.82774012635,14.1098419244322,287.400352617123,237.767250448765,272.472619935548,255.0,70.1666666666667,27.0,30.8322918118108,145666.0,15.4029206514806,114.20242884664,4955.90603044496,12073.331381733,113.070843091335,17.5644028103044,ShiftImage__
25,Non-metallic,112.490256257853,183.746287025259,36.2332344311135,15.3688524590164,36.9074300668766,23.0532786885246,0.32210109245425395,0.106668796689333,1069.83670101506,2916.99331824425,18.4407185426132,374.463428435077,252.713506362559,355.013591621022,78.0,61.5515973989256,43.0,4.54639742718678,217708.0,38.2291401732574,112.490256257853,11721.4944379391,8310.70696721311,48.3021077283372,108.679742388759,ShiftImage__
26,Metallic,107.747167730877,137.925422588747,19.5875328204948,7.6844262295082,27.110418497213,9.33108899297424,0.181791626016743,0.0999051476786029,577.247851068672,1431.26724791094,13.5552092486065,284.221279579422,223.074734520018,269.458669703194,255.0,68.7092901878914,23.0,31.1911330696466,131647.0,19.5875328204948,107.747167730877,10891.5764051522,7052.65661592506,66.9642857142857,83.4309133489461,ShiftImage__
27,Metallic,107.110993375386,203.76378500824,46.5991220654983,13.1733021077283,41.9517588888992,20.3088407494145,0.435054522388611,0.117022904142371,1382.26155569054,3261.97044653622,20.9392722971021,406.376925008407,258.008246884749,385.269483596992,255.0,87.3994749507766,29.0,50.4360738038142,399503.0,47.6787805372452,107.110993375386,4466.29830210773,10163.7514637002,101.544203747073,64.7687353629976,ShiftImage__
28,Metallic,106.100998881718,123.999787295459,35.9851192698089,28.5421545667447,55.3065521426533,35.1288056206089,0.339159099811353,0.408490072150576,2402.38745533486,2816.1049842192,27.6532760713266,286.747825821553,239.276722334897,271.853985741302,255.0,211.377100576875,51.0,60.2533101315733,1685521.0,40.3609668412986,106.100998881718,4101.83694379391,9095.61621779859,102.641978922717,37.3243559718969,ShiftImage__
29,Non-metallic,105.448969073477,128.197690921977,18.0468272475465,8.78220140515222,22.6551283036999,15.3688524590164,0.17114275659699899,0.0816758336247319,403.109407479062,1581.94961601501,11.3275641518499,262.684253423152,228.306897163529,249.040288553061,75.0,50.1218236173393,18.0,13.7729057138091,67063.0,18.0468272475465,105.448969073477,3137.44145199063,6394.54039812646,104.837529274005,19.7599531615925,ShiftImage__
30,Metallic,104.111751472914,111.222764447818,11.3868124754315,8.78220140515222,30.9242808355664,10.9777517564403,0.10937105863975301,0.18861767271946603,751.085017074217,996.366733003973,15.4621404177832,235.951487335046,212.91516475951,223.696037066166,193.0,47.0196550340955,14.0,25.9205955008844,117220.0,14.0537919896318,104.111751472914,9982.61855971897,13534.4701405152,52.6932084309133,88.9197892271663,ShiftImage__
